time,v_ref_mps,v_1_mps,v_2_mps,w_ref_radps,w_1_radps,w_2_radps,theta_ref_deg,theta_meas_deg
0.0,0.0,0.0186530470328359,0.025651004087761282,0.08274565786517508,0.07022068351311583,0.06384193736030695,0.0,0.7385758964331546
0.026688907422852376,0.0030313908571831818,0.02116573878226922,0.02747435815991738,0.08431483075405166,0.07148598267301065,0.06672148344615911,0.08540397166439964,0.7341790808999308
0.05337781484570475,0.006076076586063046,0.020695408376457412,0.03011306819300923,0.08588109687957,0.07056812975418575,0.07301777620243081,0.17080475082234436,0.9923944893157934
0.08006672226855713,0.009134053706322014,0.02761806589816314,0.0370108014163962,0.08744440224452772,0.0745527700422352,0.07796479075616217,0.2561991450969421,0.9235620606463945
0.1067556296914095,0.012205316417936927,0.03229968657751646,0.03810390904923956,0.0890046929537949,0.07580280377171274,0.07657549619667516,0.3415839623704216,0.9764014607105893
0.13344453711426188,0.015289856601938169,0.033009413262116157,0.037372521778900825,0.09056191521617231,0.0771344295275577,0.07766467357719631,0.4269560109136789,1.0562185413144713
0.16013344453711426,0.01838766382147237,0.03476329258260012,0.038082559538422024,0.09211601534624575,0.07857491858703641,0.07687107067748103,0.512312099515809,1.001154728413907
0.18682235195996663,0.021498725323168457,0.03737517281677171,0.046640117111957605,0.09366693976623686,0.07756760907512697,0.07732985509475342,0.5976490376136154,1.1611932151104356
0.213511259382819,0.024623026038807,0.04112834072322296,0.050130222735933525,0.09521463500785028,0.07770514353549027,0.07617570899669102,0.6829636354210936,1.2222762098103508
0.24020016680567138,0.02776054858729258,0.04519180767715915,0.051875078554448714,0.09675904771411692,0.07846398547538605,0.07554252773707702,0.7682527040588822,1.3880490058400787
0.26688907422852376,0.030911273276929045,0.048112317050540684,0.05636194010129446,0.09830012464123347,0.07752431430702487,0.07668646947347735,0.8535130556836779,1.4838103771334257
0.29357798165137616,0.034075178107997234,0.05396769346809702,0.059474711701331465,0.09983781266039796,0.08470529053770874,0.07929045930089093,0.9387415036176066,1.653093524806031
0.3202668890742285,0.037252238775635035,0.05503885212880676,0.06484634588788922,0.10137205875964148,0.08566489568492688,0.07820333505985261,1.0239348624775473,1.7022363037171166
0.34695579649708086,0.040442428673019344,0.06226795164923707,0.06707389525929097,0.10290281004565563,0.08920293863791467,0.0803085765921498,1.1090899483044052,1.6780388413697764
0.37364470391993326,0.04364571889484959,0.06880681432808228,0.06914518555343441,0.10443001374561611,0.09390889965974633,0.08448488411015893,1.1942035786923217,1.7923131763122035
0.40033361134278567,0.04686207824113237,0.07147156473204894,0.07449881831675165,0.10595361720900208,0.09173837277424739,0.09127212341275669,1.2792725729178251,1.9591163112065977
0.427022518765638,0.050091473221266884,0.07071501564605967,0.07776013804645299,0.1074735679094112,0.09479692332857186,0.09405696170898248,1.3642937520689098,2.004194335922165
0.45371142618849036,0.053333868058430496,0.07440411196502847,0.08354595135507512,0.10898981344637065,0.09701873742963998,0.09322167409699526,1.4492639391740432,2.0519554708544634
0.48040033361134277,0.056589224694264105,0.07621056286354826,0.08911453024350632,0.11050230154714344,0.097475587817408,0.09910807956283157,1.5341799593310914,2.0131904385570794
0.5070892410341952,0.05985750279385663,0.07475616762245355,0.09105526228459562,0.11201098006853068,0.09833408005681808,0.10003122140922556,1.6190386398361603,2.107255000322942
0.5337781484570475,0.06313865975102816,0.07796872078172493,0.09474460043427604,0.11351579699866911,0.09969220788961072,0.10142659681959883,1.703836810312348,2.0693068349795967
0.5604670558798999,0.06643265069391105,0.08544036907238664,0.09665040492185961,0.11501670045882433,0.10031130709693191,0.10050128685785285,1.7885713028384003,2.2492769255715555
0.5871559633027523,0.06973942849082831,0.08732283163333522,0.09814282169979527,0.11651363870517922,0.10176720987857894,0.10257149610817451,1.8732389520772676,2.404204837497277
0.6138448707256047,0.07305894375646879,0.09120262843534707,0.09765587629354855,0.11800656013061786,0.09962711514545776,0.10588522151625232,1.9578365954045511,2.3579096024193524
0.640533778148457,0.07639114485835805,0.09383438672051203,0.09622349266938712,0.1194954132665047,0.10434243359363878,0.10629587511735805,2.0423610730368456,2.5446913556370494
0.6672226855713094,0.0797359779236247,0.09625675295685285,0.09779496224711327,0.12098014678445891,0.10467790387388089,0.10709080429828848,2.126809228159958,2.5860936599203965
0.6939115929941617,0.08309338684606096,0.10155930193487961,0.10425012349595285,0.12246070949812399,0.10822095590265658,0.10715021545005449,2.21117790705701,2.639621854148677
0.7206005004170142,0.08646331329347669,0.10814098964217228,0.11274674329339254,0.12393705036493238,0.10788620730234685,0.1080479650580269,2.2954639592364097,2.721035126166162
0.7472894078398665,0.08984569671534641,0.11220302964641524,0.11495438266228078,0.12540911848786515,0.10955558805363419,0.10995836269124873,2.3796642375596937,2.8979394503653224
0.7739783152627189,0.0932404743507479,0.11699787139446367,0.11623240954157932,0.1268768631172067,0.1120495489149423,0.10835548085779484,2.463775598369233,2.9869894223066558
0.8006672226855713,0.09664758123659191,0.12218695330988687,0.12781134476766162,0.12834023365229438,0.11680249837119619,0.11063255322063709,2.5477949016157893,3.0109092371353086
0.8273561301084237,0.1000669502161415,0.12541769796949886,0.13015756112288193,0.12979917964326296,0.1147813522444511,0.11298107076068462,2.6317190109859316,3.049755554319929
0.854045037531276,0.10349851194782062,0.12883954570561645,0.13542847903921074,0.13125365079278384,0.11746787156518582,0.11036666491305847,2.7155447940292987,3.271867569607327
0.8807339449541284,0.10694219491431055,0.13130171162172274,0.14378675590910114,0.13270359695779904,0.11591360259445112,0.10738023724734899,2.7992691222856965,3.378258381226661
